Time (s),CPU Usage
0.0042896270751953125,"[11.9, 2.0, 9.4, 4.0, 11.9, 6.0, 6.1, 1.0, 16.2, 5.9, 9.0, 5.1]"
1.0974071025848389,"[39.6, 39.4, 38.3, 39.4, 48.0, 47.5, 35.6, 38.8, 49.0, 45.0, 42.0, 46.4]"
2.099073648452759,"[12.1, 2.0, 9.1, 9.5, 12.0, 27.5, 9.0, 6.9, 10.4, 11.9, 14.1, 5.0]"
3.185072898864746,"[5.9, 1.0, 5.0, 2.0, 8.2, 5.1, 4.0, 2.0, 12.2, 0.0, 5.1, 2.0]"
4.188551902770996,"[8.1, 1.0, 9.8, 4.1, 19.0, 7.0, 7.9, 3.0, 12.4, 12.0, 9.9, 4.0]"
5.2734973430633545,"[3.0, 0.0, 2.0, 1.0, 3.0, 1.0, 2.0, 0.0, 6.8, 6.1, 0.0, 1.0]"
6.277362823486328,"[4.1, 1.0, 8.1, 5.0, 12.0, 8.7, 7.8, 2.0, 9.9, 24.8, 5.9, 6.0]"
7.364745140075684,"[3.0, 0.0, 5.0, 1.0, 5.9, 3.0, 2.0, 1.0, 6.2, 2.0, 4.0, 1.0]"
8.368214845657349,"[2.0, 0.0, 1.0, 0.0, 3.1, 2.0, 0.0, 0.0, 4.0, 2.0, 1.0, 0.0]"
9.453031778335571,"[1.0, 1.0, 3.0, 2.0, 5.9, 1.0, 2.0, 1.0, 7.1, 3.0, 2.0, 1.0]"
