FUNC __main__.calculate_z_serial_purepython 53.6953 1737455571.9351 53.6250 1737455573.0167 0
FUNC .create_output_list 53.6953 1737455571.9351 53.7734 1737455571.9351 1
FUNC .calculate_output 53.5547 1737455572.9395 53.6250 1737455573.0167 1
CMDLINE C:\Users\phoeb\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\python.exe JuliaSet.py
MEM 1.679688 1737455570.9528
MEM 13.605469 1737455571.0539
MEM 19.511719 1737455571.1544
MEM 25.656250 1737455571.2550
MEM 30.027344 1737455571.3554
MEM 35.109375 1737455571.4559
MEM 39.566406 1737455571.5562
MEM 45.191406 1737455571.6567
MEM 45.945312 1737455571.7569
MEM 50.832031 1737455571.8576
MEM 53.773438 1737455571.9584
MEM 53.554688 1737455572.0588
MEM 53.554688 1737455572.1593
MEM 53.554688 1737455572.2595
MEM 53.554688 1737455572.3603
MEM 53.554688 1737455572.4608
MEM 53.554688 1737455572.5615
MEM 53.554688 1737455572.6624
MEM 53.554688 1737455572.7629
MEM 53.554688 1737455572.8635
MEM 53.562500 1737455572.9643
MEM 52.683594 1737455573.0649
