FUNC __main__.evolve 53.3672 1737458244.2874 57.3359 1737458244.3385 0
FUNC __main__.evolve 57.3359 1737458244.3385 60.6406 1737458244.3778 0
FUNC __main__.evolve 59.5703 1737458244.3795 60.4453 1737458244.4124 0
FUNC __main__.evolve 59.4453 1737458244.4211 60.6797 1737458244.4622 0
FUNC __main__.evolve 60.6797 1737458244.4622 60.7422 1737458244.5032 0
CMDLINE C:\Users\phoeb\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\python.exe DiffusionProcess.py
MEM 1.925781 1737458243.3536
MEM 14.847656 1737458243.4539
MEM 21.312500 1737458243.5542
MEM 27.062500 1737458243.6545
MEM 30.812500 1737458243.7549
MEM 35.457031 1737458243.8557
MEM 40.660156 1737458243.9560
MEM 45.746094 1737458244.0568
MEM 47.390625 1737458244.1574
MEM 52.285156 1737458244.2580
MEM 59.078125 1737458244.3586
MEM 60.492188 1737458244.4593
MEM 58.175781 1737458244.5596
